loss_pct,snr_fec_on_db,snr_fec_off_db,frames_lost,frames_recovered_by_fec
0,99.0,99.0,0,0
5,63.59717669037223,37.25284455419275,8,7
10,60.112636491556806,30.59429818807403,11,10
20,47.42009299822638,23.892838921532615,26,20
30,33.740404511142025,10.03253622083335,39,28
